"estimate"	"std.error"	"statistic"	"df"	"p.value"	"conf.low"	"conf.high"	"true_vals"	"cov"	"bias"	"width"	"term"	"name"	"Method"	"lower"	"upper"
"1"	-1.41184788315247	4.52194815867529	-0.313460746385132	388.527755376968	0.50776668059265	-10.3236299100351	7.49993414373017	-0.838173056685837	1	-0.573674826466631	17.8235640537653	"(Intercept)"	"20"	"PMM"	-9.48545685334927	8.33810720041601
"2"	-0.795055591317536	4.46537397627404	-0.181195062271926	442.922278178598	0.516398892666527	-9.58993499753967	7.9998238149046	-0.838173056685837	1	0.0431174653683016	17.5897588124443	"(Intercept)"	"20"	"CART"	-8.75176194085384	8.83799687159044
"3"	-1.0121248988936	4.53807077957039	-0.234566965487679	356.641586931679	0.515961027253662	-9.96980382271045	7.94555402492325	-0.838173056685837	1	-0.173951842207764	17.9153578476337	"(Intercept)"	"20"	"RF"	-9.13163076602462	8.78372708160909
"4"	0.046886383147108	4.26364947266306	0.0114613130836782	835.483399531884	0.4784123108175	-8.32354081275612	8.41731357905034	-0.838173056685837	1	0.885059439832945	16.7408543918065	"(Intercept)"	"20"	"ParamDefault_predicted"	-7.48536775607029	9.25548663573618
"5"	-0.988886740968225	4.45162800846729	-0.221690481746196	463.410406341505	0.497708210360825	-9.75493996316278	7.77716648122633	-0.838173056685837	1	-0.150713684282388	17.5321064443891	"(Intercept)"	"20"	"ParamDefault_predicted.observed"	-8.91676690647694	8.61533953791216
"6"	0.0156591266325474	4.25733105341043	0.00616743929062887	855.274114313666	0.479103853884703	-8.34163200154875	8.37295025481385	-0.838173056685837	1	0.853832183318385	16.7145822563626	"(Intercept)"	"20"	"ParamDefault_original.observed"	-7.50345894486291	9.21112331149968
"7"	-3.27807095613963	4.04276113649407	-0.880081409992568	892.135194865498	0.368750856261799	-11.213422905462	4.65728099318278	-0.838173056685837	0.81	-2.4398978994538	15.8707038986448	"(Intercept)"	"20"	"Random_predicted"	-10.3752498487762	5.49545404986862
"8"	-1.55206462298124	4.52446210252721	-0.318497893187752	438.917961485319	0.484954321577398	-10.4946638412149	7.39053459525245	-0.838173056685837	0.99	-0.713891566295404	17.8851984364674	"(Intercept)"	"20"	"Random_predicted.observed"	-9.6564907845291	8.22870765193829
"9"	-4.10311720485876	4.10522687974851	-1.05235911483494	898.097217206981	0.357778659597263	-12.1608834354099	3.95464902569238	-0.838173056685837	0.77	-3.26494414817293	16.1155324611023	"(Intercept)"	"20"	"Random_original.observed"	-11.3227103787241	4.79282208237822
"10"	-2.2489935263593	4.67515230467247	-0.490156013361101	911.493799933086	0.456017286177332	-11.4247597910027	6.92677273828411	-0.838173056685837	0.85	-1.41082046967346	18.3515325292868	"(Intercept)"	"20"	"AllParam_predicted"	-10.5865867343169	7.76494579496995
"11"	-1.04452585496892	4.56268302989957	-0.213270020648766	443.134082867574	0.497408184231877	-10.1055956688779	8.01654395894008	-0.838173056685837	1	-0.206352798283086	18.122139627818	"(Intercept)"	"20"	"AllParam_predicted.observed"	-9.26742261219208	8.85471701562591
"12"	-2.32352294523706	4.67630244657108	-0.506627702022343	913.909767176057	0.452414054015103	-11.5015460739859	6.85450018351178	-0.838173056685837	0.85	-1.48534988855122	18.3560462574977	"(Intercept)"	"20"	"AllParam_original.observed"	-10.6633730173001	7.69267324019762
"13"	0.0595206389054516	4.22355366663161	0.0155883736894936	909.435753655335	0.493584977908749	-8.23001152765313	8.34905280546403	-0.838173056685837	1	0.897693695591289	16.5790643331172	"(Intercept)"	"20"	"Mixgb - Pmm.Null"	-7.39183847096729	9.18722586214987
"14"	-0.943983660140767	4.38984145515965	-0.215408446423854	529.243512437789	0.504854222545672	-9.57813070429982	7.69016338401829	-0.838173056685837	1	-0.10581060345493	17.2682940883181	"(Intercept)"	"20"	"Mixgb - Pmm.1"	-8.73995764761398	8.52833644070412
"15"	-1.12547507171995	4.37274423746274	-0.258337332098198	573.372056355626	0.489341414297022	-9.72368865262125	7.47273850918135	-0.838173056685837	1	-0.287302015034111	17.1964271618026	"(Intercept)"	"20"	"Mixgb - Pmm.2"	-8.88551559593541	8.31091156586719
"16"	1.16051149264953	0.874355000969849	1.34005758119704	191.427998995605	0.274444098683635	-0.584355906751092	2.90537889205015	1.1301533642059	1	0.0303581284436295	3.48973479880124	"I(z^2)"	"20"	"PMM"	-1.71450927095699	1.77522552784425
"17"	1.00068059686244	0.871940354677826	1.16715811363124	188.100074960694	0.329149465388097	-0.747324599939184	2.74868579366406	1.1301533642059	1	-0.129472767343461	3.49601039360324	"I(z^2)"	"20"	"CART"	-1.87747796414508	1.61853242945816
"18"	0.926308328575406	0.889355727126669	1.06930047248629	143.114428611605	0.353533524880879	-0.861658136929227	2.71427479408004	1.1301533642059	1	-0.203845035630492	3.57593293100927	"I(z^2)"	"20"	"RF"	-1.99181150113513	1.58412142987414
"19"	0.914422406274404	0.813394148214882	1.13622055206475	493.628857016734	0.349926811155931	-0.690247062270555	2.51909187481936	1.1301533642059	1	-0.215730957931495	3.20933893708992	"I(z^2)"	"20"	"ParamDefault_predicted"	-1.82040042647645	1.38893851061346
"20"	0.946424653760375	0.863557398197757	1.10211288239297	215.745720530235	0.353221688869562	-0.773986980154134	2.66683628767488	1.1301533642059	1	-0.183728710445524	3.44082326782902	"I(z^2)"	"20"	"ParamDefault_predicted.observed"	-1.90414034436003	1.53668292346899
