"","x","method","percentage"
"user.self...1",68.707,"G1","20"
"sys.self...2",1.489,"G1","20"
"elapsed...3",72.69,"G1","20"
"user.child...4",0,"G1","20"
"sys.child...5",0,"G1","20"
"user.self1...6",43.42,"G1","20"
"sys.self1...7",0.892,"G1","20"
"elapsed1...8",44.485,"G1","20"
"user.child1...9",0,"G1","20"
"sys.child1...10",0,"G1","20"
"user.self2...11",60.357,"G1","20"
"sys.self2...12",1.428,"G1","20"
"elapsed2...13",63.865,"G1","20"
"user.child2...14",0,"G1","20"
"sys.child2...15",0,"G1","20"
"user.self3...16",57.596,"G1","20"
"sys.self3...17",1.457,"G1","20"
"elapsed3...18",60.886,"G1","20"
"user.child3...19",0,"G1","20"
"sys.child3...20",0,"G1","20"
"user.self4...21",67.231,"G1","20"
"sys.self4...22",1.501,"G1","20"
"elapsed4...23",71.064,"G1","20"
"user.child4...24",0,"G1","20"
"sys.child4...25",0,"G1","20"
"user.self5...26",43.086,"G1","20"
"sys.self5...27",0.779,"G1","20"
"elapsed5...28",44.019,"G1","20"
"user.child5...29",0,"G1","20"
"sys.child5...30",0,"G1","20"
"user.self6...31",60.424,"G1","20"
"sys.self6...32",1.504,"G1","20"
"elapsed6...33",63.968,"G1","20"
"user.child6...34",0,"G1","20"
"sys.child6...35",0,"G1","20"
"user.self7...36",61.301,"G1","20"
"sys.self7...37",1.552,"G1","20"
"elapsed7...38",65.001,"G1","20"
"user.child7...39",0,"G1","20"
"sys.child7...40",0,"G1","20"
"user.self8...41",57.869,"G1","20"
"sys.self8...42",1.495,"G1","20"
"elapsed8...43",61.207,"G1","20"
"user.child8...44",0,"G1","20"
"sys.child8...45",0,"G1","20"
"user.self9...46",38.361,"G1","20"
"sys.self9...47",0.903,"G1","20"
"elapsed9...48",39.755,"G1","20"
"user.child9...49",0,"G1","20"
"sys.child9...50",0,"G1","20"
"user.self...51",52.44,"G1","60"
"sys.self...52",1.625,"G1","60"
"elapsed...53",56.813,"G1","60"
"user.child...54",0,"G1","60"
"sys.child...55",0,"G1","60"
"user.self1...56",39.511,"G1","60"
"sys.self1...57",1.072,"G1","60"
"elapsed1...58",41.122,"G1","60"
"user.child1...59",0,"G1","60"
"sys.child1...60",0,"G1","60"
"user.self2...61",55.227,"G1","60"
"sys.self2...62",1.624,"G1","60"
"elapsed2...63",59.731,"G1","60"
"user.child2...64",0,"G1","60"
"sys.child2...65",0,"G1","60"
"user.self3...66",51.696,"G1","60"
"sys.self3...67",1.504,"G1","60"
"elapsed3...68",55.665,"G1","60"
"user.child3...69",0,"G1","60"
"sys.child3...70",0,"G1","60"
"user.self4...71",58.659,"G1","60"
"sys.self4...72",1.773,"G1","60"
"elapsed4...73",63.563,"G1","60"
"user.child4...74",0,"G1","60"
"sys.child4...75",0,"G1","60"
"user.self5...76",39.443,"G1","60"
"sys.self5...77",1.064,"G1","60"
"elapsed5...78",40.773,"G1","60"
"user.child5...79",0,"G1","60"
"sys.child5...80",0,"G1","60"
"user.self6...81",54.5,"G1","60"
"sys.self6...82",1.574,"G1","60"
"elapsed6...83",58.806,"G1","60"
"user.child6...84",0,"G1","60"
"sys.child6...85",0,"G1","60"
"user.self7...86",57.358,"G1","60"
"sys.self7...87",1.726,"G1","60"
"elapsed7...88",61.953,"G1","60"
"user.child7...89",0,"G1","60"
"sys.child7...90",0,"G1","60"
"user.self8...91",54.941,"G1","60"
"sys.self8...92",1.764,"G1","60"
"elapsed8...93",59.438,"G1","60"
"user.child8...94",0,"G1","60"
"sys.child8...95",0,"G1","60"
"user.self9...96",40.734,"G1","60"
"sys.self9...97",1.083,"G1","60"
"elapsed9...98",42.295,"G1","60"
"user.child9...99",0,"G1","60"
"sys.child9...100",0,"G1","60"
"user.self...101",74.754,"G2","20"
"sys.self...102",13.058,"G2","20"
"elapsed...103",107.708,"G2","20"
"user.child...104",0,"G2","20"
"sys.child...105",0,"G2","20"
"user.self1...106",63.045,"G2","20"
"sys.self1...107",4.908,"G2","20"
"elapsed1...108",71.983,"G2","20"
"user.child1...109",0,"G2","20"
"sys.child1...110",0,"G2","20"
"user.self2...111",75.032,"G2","20"
"sys.self2...112",13.064,"G2","20"
"elapsed2...113",108.452,"G2","20"
"user.child2...114",0,"G2","20"
"sys.child2...115",0,"G2","20"
"user.self3...116",80.697,"G2","20"
"sys.self3...117",13.611,"G2","20"
"elapsed3...118",115.527,"G2","20"
"user.child3...119",0,"G2","20"
"sys.child3...120",0,"G2","20"
"user.self4...121",83.832,"G2","20"
"sys.self4...122",14.638,"G2","20"
"elapsed4...123",120.162,"G2","20"
"user.child4...124",0,"G2","20"
"sys.child4...125",0,"G2","20"
"user.self5...126",54.413,"G2","20"
"sys.self5...127",2.995,"G2","20"
"elapsed5...128",58.7110000000001,"G2","20"
"user.child5...129",0,"G2","20"
"sys.child5...130",0,"G2","20"
"user.self6...131",80.43,"G2","20"
"sys.self6...132",14.93,"G2","20"
"elapsed6...133",117.739,"G2","20"
"user.child6...134",0,"G2","20"
"sys.child6...135",0,"G2","20"
"user.self7...136",82.189,"G2","20"
"sys.self7...137",14.745,"G2","20"
"elapsed7...138",118.813,"G2","20"
"user.child7...139",0,"G2","20"
"sys.child7...140",0,"G2","20"
"user.self8...141",80.317,"G2","20"
"sys.self8...142",12.545,"G2","20"
"elapsed8...143",111.129,"G2","20"
"user.child8...144",0,"G2","20"
"sys.child8...145",0,"G2","20"
"user.self9...146",37.598,"G2","20"
"sys.self9...147",1.804,"G2","20"
"elapsed9...148",39.8620000000001,"G2","20"
"user.child9...149",0,"G2","20"
"sys.child9...150",0,"G2","20"
"user.self...151",94.352,"G2","60"
"sys.self...152",26.26,"G2","60"
"elapsed...153",155.664,"G2","60"
"user.child...154",0,"G2","60"
"sys.child...155",0,"G2","60"
"user.self1...156",85.594,"G2","60"
"sys.self1...157",3.48,"G2","60"
"elapsed1...158",90.7760000000001,"G2","60"
"user.child1...159",0,"G2","60"
"sys.child1...160",0,"G2","60"
"user.self2...161",80.765,"G2","60"
"sys.self2...162",17.806,"G2","60"
"elapsed2...163",124.75,"G2","60"
"user.child2...164",0,"G2","60"
"sys.child2...165",0,"G2","60"
"user.self3...166",115.614,"G2","60"
"sys.self3...167",26.259,"G2","60"
"elapsed3...168",175.483,"G2","60"
"user.child3...169",0,"G2","60"
"sys.child3...170",0,"G2","60"
"user.self4...171",81.871,"G2","60"
"sys.self4...172",22.614,"G2","60"
"elapsed4...173",134.852,"G2","60"
"user.child4...174",0,"G2","60"
"sys.child4...175",0,"G2","60"
