"","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","true_vals","cov","bias","width","method","percentage"
"1","(Intercept)",-0.75063277099231,4.56361387219908,-0.0586679421540823,711.461158150617,0.460263614612863,-9.89787748489747,8.39661194291285,-0.11438296016576,1,-0.63624981082655,18.2944894278103,"G1","20"
"2","x",3.28634129469995,1.36771112916448,2.32470103413961,685.230752306449,0.0754273398702858,0.534619719535763,6.03806286986414,3.07137064502332,0.9,0.214970649676636,5.50344315032838,"G1","20"
"3","z",1.11070874703245,2.97624618456574,0.40641783914533,229.040167564824,0.605406564049915,-4.82151929741082,7.04293679147572,1.01667552694845,1,0.0940332200839993,11.8644560888865,"G1","20"
"4","I(z^2)",0.758091460650968,0.946548755586659,0.89699636775791,105.384173435586,0.447676412810363,-1.18333885983908,2.69952178114101,0.847676846995064,1,-0.0895853863440963,3.88286064098009,"G1","20"
"5","x:z",3.04889678970576,1.05634536546251,2.95277704359943,165.713768056011,0.0375157171799494,0.907052709289767,5.19074087012175,3.04617174488686,1,0.0027250448188993,4.28368816083198,"G1","20"
"6","(Intercept)",1.06294831308966,5.48495541586347,0.320867559479958,75.2838585829463,0.216414939089427,-10.2879385649186,12.4138351910979,-0.11438296016576,0.8,1.17733127325543,22.7017737560165,"G1","60"
"7","x",2.68113734374913,1.69794482966346,1.48401501861525,75.9262523623779,0.463069680031085,-0.88708011446474,6.249354801963,3.07137064502332,0.8,-0.390233301274185,7.13643491642774,"G1","60"
"8","z",-0.636967701092557,4.56175931167663,-0.0856544318734817,13.6356905196484,0.542523734638477,-10.8954790138544,9.62154361166925,1.01667552694845,1,-1.65364322804101,20.5170226255236,"G1","60"
"9","I(z^2)",0.281059813003679,1.32382746188873,0.262138346627579,14.3649675530629,0.365398353401134,-2.68165324441967,3.24377287042702,0.847676846995064,0.9,-0.566617033991385,5.92542611484669,"G1","60"
"10","x:z",3.70376770642329,1.58534782860989,2.50320410064451,12.5986158806706,0.139038671198236,0.112473724037667,7.29506168880891,3.04617174488686,0.8,0.657595961536428,7.18258796477124,"G1","60"
"11","(Intercept)",-0.843683000683137,4.58333096034573,-0.0936509090974089,481.526648565906,0.455290365606247,-9.98492062664426,8.29755462527799,-0.11438296016576,1,-0.729300040517377,18.2824752519222,"G2","20"
"12","x",3.36098509076876,1.3783726144631,2.3684476615878,455.293491586406,0.067305243650812,0.596563638670599,6.12540654286691,3.07137064502332,0.9,0.289614445745441,5.52884290419632,"G2","20"
"13","z",1.42174034286338,2.99768798322587,0.50225965992215,221.194677295599,0.582932318251823,-4.56913518828121,7.41261587400796,1.01667552694845,1,0.405064815914925,11.9817510622892,"G2","20"
"14","I(z^2)",0.690391565071346,0.90806955039605,0.80029307976659,159.831410806602,0.500711089230537,-1.14233716831428,2.52312029845697,0.847676846995064,1,-0.157285281923718,3.66545746677126,"G2","20"
"15","x:z",2.96657953592934,1.05228690253682,2.92022739612588,191.700642005188,0.0522879783846276,0.834170720270175,5.0989883515885,3.04617174488686,1,-0.0795922089575206,4.26481763131833,"G2","20"
"16","(Intercept)",-0.61447706802179,5.32943160483408,0.116484089643611,105.187122194874,0.358528238349984,-11.7376454507467,10.5086913147031,-0.11438296016576,0.9,-0.50009410785603,22.2463367654498,"G2","60"
"17","x",3.21543409888782,1.63949052778116,1.7974363038584,126.396634292923,0.295658876978848,-0.253602291392553,6.6844704891682,3.07137064502332,0.9,0.144063453864507,6.93807278056075,"G2","60"
"18","z",0.0807797978583906,3.95987278092018,0.0690391957840512,47.6978943534589,0.464873482193842,-8.52733922245439,8.68889881817118,1.01667552694845,0.9,-0.935895729090062,17.2162380406256,"G2","60"
"19","I(z^2)",0.692621100633128,1.25800135773045,0.532021131620376,14.0119651892265,0.298501812981503,-2.12073009176714,3.50597229303339,0.847676846995064,0.9,-0.155055746361936,5.62670238480053,"G2","60"
"20","x:z",3.32561282363854,1.38138797807209,2.66455139538914,28.5749596108433,0.151065966133375,0.284013659123658,6.36721198815342,3.04617174488686,0.8,0.279441078751681,6.08319832902977,"G2","60"
"21","(Intercept)",-1.12771420386751,4.91601775837375,-0.105092628400884,283.298625591396,0.51403968214069,-11.1575926638918,8.9021642561568,-0.11438296016576,1,-1.01333124370175,20.0597569200486,"G3","20"
"22","x",3.52131444388472,1.4930245294015,2.30348517197544,221.744341099054,0.0650535334091838,0.450422224451206,6.59220666331823,3.07137064502332,1,0.449943798861402,6.14178443886702,"G3","20"
"23","z",1.46902785597251,3.34263174360468,0.366273523745453,169.789486132814,0.539638919940201,-5.4244222056729,8.36247791761792,1.01667552694845,1,0.452352329024057,13.7869001232908,"G3","20"
"24","I(z^2)",0.490586742234267,0.983037219887463,0.484789269436702,101.002104588679,0.527303811222873,-1.55789385065334,2.53906733512188,0.847676846995064,1,-0.357090104760797,4.09696118577522,"G3","20"
"25","x:z",2.96099601418895,1.18739124338026,2.77831301538015,134.570849876675,0.100940181170525,0.455999977251903,5.465992051126,3.04617174488686,1,-0.0851757306979098,5.0099920738741,"G3","20"
"26","(Intercept)",-2.58300389522157,6.16391077519623,-0.260339466622258,37.4980398534585,0.394831686299047,-15.8703007122041,10.7042929217609,-0.11438296016576,0.9,-2.46862093505581,26.574593633965,"G3","60"
"27","x",4.05591135461024,1.89375026073906,2.07064709385707,37.2145428781863,0.179742726458793,-0.088779042265111,8.20060175148559,3.07137064502332,0.9,0.984540709586923,8.2893807937507,"G3","60"
"28","z",0.96593063553322,4.70464442599054,0.217084363488221,24.0327542692742,0.442805691326519,-9.72772186213171,11.6595831331982,1.01667552694845,0.9,-0.050744891415233,21.3873049953299,"G3","60"
"29","I(z^2)",0.154373919895409,1.38118107331357,0.171883052869625,20.8059021726438,0.479358791812412,-3.00771975463734,3.31646759442816,0.847676846995064,1,-0.693302927099655,6.3241873490655,"G3","60"
"30","x:z",3.02941698251211,1.62066740212978,2.10959107109115,23.563106333873,0.18661100109339,-0.699237912638001,6.75807187766222,3.04617174488686,0.9,-0.0167547623747494,7.45730979030022,"G3","60"
"31","(Intercept)",-0.121969531918528,4.676680468238,0.0149194405357945,518.009115485825,0.573317389402383,-9.48603575131725,9.2420966874802,-0.11438296016576,1,-0.00758657175276809,18.7281324387974,"G4","20"
"32","x",3.16387563610648,1.40923531891725,2.24952999441614,464.687414644382,0.0627387919008932,0.327548403636606,6.00020286857635,3.07137064502332,1,0.0925049910831633,5.67265446493975,"G4","20"
"33","z",1.41067958070399,3.05128839369642,0.427162136988523,262.363163782595,0.452907814258996,-4.71958517705675,7.54094433846472,1.01667552694845,1,0.394004053755533,12.2605295155215,"G4","20"
"34","I(z^2)",0.43127695512443,0.8958125231628,0.512019335952024,130.028638743958,0.446140705162653,-1.36402828103879,2.22658219128765,0.847676846995064,1,-0.416399891870634,3.59061047232645,"G4","20"
"35","x:z",3.0731013410276,1.03335487444258,3.03654720646175,260.241410944359,0.0674925143113518,0.999122516661959,5.14708016539324,3.04617174488686,1,0.0269295961407415,4.14795764873129,"G4","20"
"36","(Intercept)",0.231332317944537,4.78088745572622,-0.00777063493930974,148.717238694752,0.331001240724209,-9.35856675387447,9.82123138976354,-0.11438296016576,1,0.345715278110297,19.179798143638,"G4","60"
"37","x",2.97812505380646,1.44068301507273,2.16228253149881,147.971130977668,0.223703285436644,0.0739401569077127,5.8823099507052,3.07137064502332,0.9,-0.0932455912168568,5.80836979379749,"G4","60"
"38","z",-1.55987995296749,3.68096121203483,-0.513158372104624,32.3819865395847,0.431319451720904,-9.42380955678756,6.30404965085258,1.01667552694845,0.8,-2.57655547991594,15.7278592076401,"G4","60"
"39","I(z^2)",0.011982017166522,1.0799456910206,0.0185175296598381,36.1829012050211,0.392027954344578,-2.30694560360943,2.33090963794247,0.847676846995064,0.7,-0.835694829828542,4.6378552415519,"G4","60"
"40","x:z",3.97816130705886,1.20898476680474,3.40183612603903,34.3931866688549,0.0321073392057265,1.41927743501964,6.53704517909809,3.04617174488686,0.7,0.931989562172002,5.11776774407845,"G4","60"
"41","(Intercept)",0.794308486485706,4.35489873949643,0.185617227579792,656.519444312446,0.519422827854973,-7.76813428988414,9.35675126285555,-0.11438296016576,1,0.908691446651466,17.1248855527397,"G1_G2_together","20"
"42","x",2.81530479767995,1.30038333190271,2.17189385228193,623.99323378019,0.071555104137302,0.257097596347915,5.37351199901198,3.07137064502332,1,-0.256065847343366,5.11641440266407,"G1_G2_together","20"
"43","z",1.40950551810628,2.88055550407732,0.471764744240269,408.288752731727,0.531912883783998,-4.32614994230117,7.14516097851373,1.01667552694845,1,0.392829991157829,11.4713109208149,"G1_G2_together","20"
"44","I(z^2)",0.713636101758165,0.826317349765125,0.879604731460822,470.676069796642,0.411801078452554,-0.919474335239636,2.34674653875597,0.847676846995064,1,-0.134040745236898,3.2662208739956,"G1_G2_together","20"
"45","x:z",3.0752082709975,0.97402886966333,3.19528012279204,509.123082248998,0.0327977844267545,1.13713060285382,5.01328593914118,3.04617174488686,1,0.0290365261106377,3.87615533628736,"G1_G2_together","20"
"46","(Intercept)",1.78238959559342,5.07107308560471,0.344559332430722,65.5074725287832,0.337727945996594,-8.54620522856941,12.1109844197563,-0.11438296016576,1,1.89677255575919,20.6571896483257,"G1_G2_together","60"
"47","x",2.40903139444048,1.51808647915412,1.61138005328706,56.1099017288488,0.328836513630809,-0.688344272010951,5.50640706089191,3.07137064502332,1,-0.662339250582835,6.19475133290286,"G1_G2_together","60"
"48","z",-1.29547363936242,3.44036409226984,-0.461868622558755,113.319504894812,0.471089353082609,-8.49737231045862,5.90642503173377,1.01667552694845,0.8,-2.31214916631088,14.4037973421924,"G1_G2_together","60"
