"","X20.estimate","X20.std.error","X20.statistic","X20.df","X20.p.value","X20.conf.low","X20.conf.high","X20.true_vals","X20.cov","X20.bias","X20.width","X60.estimate","X60.std.error","X60.statistic","X60.df","X60.p.value","X60.conf.low","X60.conf.high","X60.true_vals","X60.cov","X60.bias","X60.width"
"(Intercept)",0.985877628917675,4.41509190339733,0.223073021913001,460.268563208524,0.483646533155336,-7.70289801757673,9.67465327541208,-0.11438296016576,1,1.10026058908344,17.3775512929888,1.890776238345,5.07800970211581,0.377402101554963,150.065759580226,0.366299995036873,-8.50366789897176,12.2852203756618,-0.11438296016576,1,2.00515919851076,20.7888882746335
"x",2.75069531535014,1.31476603168326,2.10069001290894,448.722574299905,0.103469755325637,0.162853210076755,5.33853742062352,3.07137064502332,1,-0.320675329673177,5.17568421054677,2.30878388198496,1.52623087213919,1.55842259695657,186.075384472846,0.320170958610794,-0.826489774879559,5.44405753884948,3.07137064502332,0.9,-0.762586763038355,6.27054731372904
"z",0.736616718350994,2.85987718373048,0.288375316367397,350.19936342917,0.477254691756323,-4.92718507096851,6.4004185076705,1.01667552694845,1,-0.280058808597459,11.327603578639,1.765375204903,3.7648386018383,0.440989659997849,34.6759752265478,0.432824345597056,-6.30435048981876,9.83510089962477,1.01667552694845,0.9,0.74869967795455,16.1394513894435
"I(z^2)",0.586878982145575,0.848770310119478,0.7062343600786,271.84387605605,0.450016418595634,-1.09332245665035,2.2670804209415,0.847676846995064,1,-0.260797864849489,3.36040287759185,1.0043560803732,1.08641090791487,0.996906047921962,31.8934799162852,0.258932456477375,-1.31041688411622,3.31912904486262,0.847676846995064,0.8,0.156679233378137,4.62954592897884
"x:z",3.27266651921147,0.978834137174653,3.34073543439889,331.649555799628,0.0434454119552205,1.33333156515887,5.21200147326407,3.04617174488686,1,0.226494774324608,3.8786699081052,3.04255819963302,1.24239442234476,2.56422355494139,70.102996506485,0.14593945253033,0.401845516704179,5.68327088256187,3.04617174488686,0.9,-0.00361354525383804,5.28142536585769
