"","x","method","percentage"
"user.self...1",30.136,"G1","20"
"sys.self...2",0.34,"G1","20"
"elapsed...3",31.422,"G1","20"
"user.child...4",0,"G1","20"
"sys.child...5",0,"G1","20"
"user.self1...6",18.121,"G1","20"
"sys.self1...7",0.257,"G1","20"
"elapsed1...8",18.494,"G1","20"
"user.child1...9",0,"G1","20"
"sys.child1...10",0,"G1","20"
"user.self2...11",23.282,"G1","20"
"sys.self2...12",0.275,"G1","20"
"elapsed2...13",24.256,"G1","20"
"user.child2...14",0,"G1","20"
"sys.child2...15",0,"G1","20"
"user.self3...16",22.968,"G1","20"
"sys.self3...17",0.276,"G1","20"
"elapsed3...18",23.949,"G1","20"
"user.child3...19",0,"G1","20"
"sys.child3...20",0,"G1","20"
"user.self4...21",28.427,"G1","20"
"sys.self4...22",0.329,"G1","20"
"elapsed4...23",29.677,"G1","20"
"user.child4...24",0,"G1","20"
"sys.child4...25",0,"G1","20"
"user.self5...26",19.031,"G1","20"
"sys.self5...27",0.247,"G1","20"
"elapsed5...28",19.388,"G1","20"
"user.child5...29",0,"G1","20"
"sys.child5...30",0,"G1","20"
"user.self6...31",24.112,"G1","20"
"sys.self6...32",0.292,"G1","20"
"elapsed6...33",25.208,"G1","20"
"user.child6...34",0,"G1","20"
"sys.child6...35",0,"G1","20"
"user.self7...36",25.127,"G1","20"
"sys.self7...37",0.306,"G1","20"
"elapsed7...38",26.28,"G1","20"
"user.child7...39",0,"G1","20"
"sys.child7...40",0,"G1","20"
"user.self8...41",23.135,"G1","20"
"sys.self8...42",0.284,"G1","20"
"elapsed8...43",24.148,"G1","20"
"user.child8...44",0,"G1","20"
"sys.child8...45",0,"G1","20"
"user.self9...46",15.353,"G1","20"
"sys.self9...47",0.31,"G1","20"
"elapsed9...48",15.881,"G1","20"
"user.child9...49",0,"G1","20"
"sys.child9...50",0,"G1","20"
"user.self...51",19.888,"G1","60"
"sys.self...52",0.251,"G1","60"
"elapsed...53",20.887,"G1","60"
"user.child...54",0,"G1","60"
"sys.child...55",0,"G1","60"
"user.self1...56",14.85,"G1","60"
"sys.self1...57",0.296,"G1","60"
"elapsed1...58",15.443,"G1","60"
"user.child1...59",0,"G1","60"
"sys.child1...60",0,"G1","60"
"user.self2...61",21.182,"G1","60"
"sys.self2...62",0.276,"G1","60"
"elapsed2...63",22.225,"G1","60"
"user.child2...64",0,"G1","60"
"sys.child2...65",0,"G1","60"
"user.self3...66",20.044,"G1","60"
"sys.self3...67",0.257,"G1","60"
"elapsed3...68",21.027,"G1","60"
"user.child3...69",0,"G1","60"
"sys.child3...70",0,"G1","60"
"user.self4...71",22.646,"G1","60"
"sys.self4...72",0.283,"G1","60"
"elapsed4...73",23.773,"G1","60"
"user.child4...74",0,"G1","60"
"sys.child4...75",0,"G1","60"
"user.self5...76",16.093,"G1","60"
"sys.self5...77",0.281,"G1","60"
"elapsed5...78",16.522,"G1","60"
"user.child5...79",0,"G1","60"
"sys.child5...80",0,"G1","60"
"user.self6...81",20.518,"G1","60"
"sys.self6...82",0.259,"G1","60"
"elapsed6...83",21.508,"G1","60"
"user.child6...84",0,"G1","60"
"sys.child6...85",0,"G1","60"
"user.self7...86",22.47,"G1","60"
"sys.self7...87",0.287,"G1","60"
"elapsed7...88",23.592,"G1","60"
"user.child7...89",0,"G1","60"
"sys.child7...90",0,"G1","60"
"user.self8...91",20.653,"G1","60"
"sys.self8...92",0.258,"G1","60"
"elapsed8...93",21.691,"G1","60"
"user.child8...94",0,"G1","60"
"sys.child8...95",0,"G1","60"
"user.self9...96",15.981,"G1","60"
"sys.self9...97",0.311,"G1","60"
"elapsed9...98",16.529,"G1","60"
"user.child9...99",0,"G1","60"
"sys.child9...100",0,"G1","60"
"user.self...101",24.119,"G2","20"
"sys.self...102",2.247,"G2","20"
"elapsed...103",29.662,"G2","20"
"user.child...104",0,"G2","20"
"sys.child...105",0,"G2","20"
"user.self1...106",23.211,"G2","20"
"sys.self1...107",1.587,"G2","20"
"elapsed1...108",26.48,"G2","20"
"user.child1...109",0,"G2","20"
"sys.child1...110",0,"G2","20"
"user.self2...111",23.86,"G2","20"
"sys.self2...112",2.421,"G2","20"
"elapsed2...113",29.788,"G2","20"
"user.child2...114",0,"G2","20"
"sys.child2...115",0,"G2","20"
"user.self3...116",30.61,"G2","20"
"sys.self3...117",2.809,"G2","20"
"elapsed3...118",37.732,"G2","20"
"user.child3...119",0,"G2","20"
"sys.child3...120",0,"G2","20"
"user.self4...121",27.484,"G2","20"
"sys.self4...122",2.759,"G2","20"
"elapsed4...123",34.415,"G2","20"
