"","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","true_vals","cov","bias","width","method","percentage"
"1","(Intercept)",0.834217608013986,4.47933232260046,0.188958354895101,432.908655109847,0.514571816107606,-7.98782052053299,9.65625573656096,-0.11438296016576,1,0.948600568179746,17.644076257094,"G1","20"
"2","x",2.78551458172379,1.34338279753608,2.08081081783022,371.264130914333,0.0931671589902138,0.137111062649634,5.43391810079795,3.07137064502332,1,-0.285856063299523,5.29680703814831,"G1","20"
"3","z",0.978115583848965,2.95784000864175,0.326715397944841,308.218158168111,0.520087547671757,-4.91282920444307,6.869060372141,1.01667552694845,1,-0.0385599430994874,11.7818895765841,"G1","20"
"4","I(z^2)",0.620105748377361,0.888817869120582,0.732329783362503,143.884481611749,0.507620386938485,-1.15128699769282,2.39149849444754,0.847676846995064,1,-0.227571098617703,3.54278549214037,"G1","20"
"5","x:z",3.21546825902877,1.02020254632715,3.18125996692599,292.787597035357,0.0459548029943992,1.17680238446328,5.25413413359425,3.04617174488686,1,0.169296514141905,4.07733174913097,"G1","20"
"6","(Intercept)",-0.104731507207578,5.16438899669806,0.177636637482861,152.745593836492,0.243131487401284,-10.5897394531669,10.3802764387517,-0.11438296016576,0.8,0.00965145295818175,20.9700158919186,"G1","60"
"7","x",3.08651300051103,1.60022304507303,1.75352290567207,63.4434233386475,0.383028919752223,-0.194744310685696,6.36777031170777,3.07137064502332,0.8,0.0151423554877196,6.56251462239346,"G1","60"
"8","z",-0.436851207603277,4.76903411208912,-0.139473402341708,14.8625054250299,0.524660412811779,-11.3201923473005,10.4464899320939,1.01667552694845,0.9,-1.45352673455173,21.7666822793944,"G1","60"
"9","I(z^2)",0.325295287310193,1.23962927838436,0.174151599904137,59.0615896727581,0.290702209263096,-2.4008884175408,3.05147899216119,0.847676846995064,0.8,-0.52238155968487,5.452367409702,"G1","60"
"10","x:z",3.58346345536771,1.54701469816848,2.66695537575937,22.0978206998634,0.180423673151694,0.0936375879047656,7.07328932283065,3.04617174488686,0.8,0.537291710480847,6.97965173492588,"G1","60"
"11","(Intercept)",0.480929850409908,4.38659757001311,0.108812522256635,595.589095612406,0.540519375802349,-8.14610442303558,9.1079641238554,-0.11438296016576,1,0.595312810575668,17.254068546891,"G2","20"
"12","x",2.8935002230185,1.30586832576735,2.22610584564398,585.735539529719,0.0690094063913259,0.325080430561371,5.46192001547562,3.07137064502332,1,-0.177870422004821,5.13683958491425,"G2","20"
"13","z",1.41875413404413,2.95727951185447,0.504334709315455,205.600891455728,0.583326113897015,-4.46949941859003,7.30700768667828,1.01667552694845,1,0.402078607095673,11.7765071052683,"G2","20"
"14","I(z^2)",0.725275735839391,0.85683958538765,0.887295916122583,188.185793036014,0.370373840766309,-0.974212528187945,2.42476399986673,0.847676846995064,1,-0.122401111155673,3.39897652805467,"G2","20"
"15","x:z",3.04869283109123,1.00608755944124,3.02794680832102,236.293757434965,0.0403209814471509,1.04411025077236,5.05327541141011,3.04617174488686,1,0.00252108620437048,4.00916516063775,"G2","20"
"16","(Intercept)",-0.306539505815416,5.6296422152234,0.242372371646674,130.774121374559,0.389011200996572,-12.2950801764705,11.6820011648396,-0.11438296016576,1,-0.192156545649656,23.9770813413101,"G2","60"
"17","x",3.13275179086095,1.72477104929543,1.66619300191521,114.224197103171,0.263346135538753,-0.586091911809855,6.85159549353175,3.07137064502332,1,0.0613811458376302,7.4376874053416,"G2","60"
"18","z",0.155782413591228,4.00138309993983,0.105506221402753,57.9717328251433,0.435615330965254,-8.59388551978298,8.90545034696544,1.01667552694845,1,-0.860893113357224,17.4993358667484,"G2","60"
"19","I(z^2)",0.467971748207543,1.39795212015861,0.231969220359436,42.4135263727034,0.345374281781855,-2.76943556511122,3.70537906152631,0.847676846995064,0.8,-0.379705098787521,6.47481462663753,"G2","60"
"20","x:z",3.40447266120864,1.42812666360943,2.71743832148501,39.8640982570847,0.143862229941209,0.215072088868639,6.59387323354864,3.04617174488686,0.8,0.358300916321778,6.37880114468,"G2","60"
"21","(Intercept)",0.142684267998217,4.57525836246856,0.031370778128208,434.093210709157,0.558268241007371,-8.92414041120638,9.20950894720281,-0.11438296016576,1,0.257067228163978,18.1336493584092,"G3","20"
"22","x",3.08357389433312,1.37573412119446,2.27037670046108,406.145179272314,0.0731233226681547,0.346621936302686,5.82052585236355,3.07137064502332,1,0.0122032493098046,5.47390391606087,"G3","20"
"23","z",1.40543720777422,3.02027836431928,0.488952948677131,171.911238034256,0.516449572094009,-4.61696110941889,7.42783552496732,1.01667552694845,1,0.388761680825766,12.0447966343862,"G3","20"
"24","I(z^2)",0.389334153735117,0.917245042769523,0.453172105386226,100.33756012698,0.585963808740897,-1.4601115003773,2.23877980784753,0.847676846995064,1,-0.458342693259947,3.69889130822483,"G3","20"
"25","x:z",3.1132852935855,1.05364580765486,2.95661850466994,120.026274886109,0.0227393909526797,0.997808905528776,5.22876168164223,3.04617174488686,1,0.0671135486986414,4.23095277611345,"G3","20"
"26","(Intercept)",-0.604786104994842,6.270901564816,0.122046748956813,68.0926496918968,0.384459237919163,-14.2817103973748,13.0721381873851,-0.11438296016576,1,-0.490403144829081,27.3538485847599,"G3","60"
"27","x",3.492781043873,1.95095770994873,1.73860174602742,68.564759058415,0.194717613993224,-0.832900178003214,7.81846226574921,3.07137064502332,1,0.421410398849684,8.65136244375243,"G3","60"
"28","z",1.31782317307295,4.42133153404779,0.310370456767926,25.5109554271955,0.595276225964068,-8.55218634698687,11.1878326931328,1.01667552694845,1,0.301147646124498,19.7400190401196,"G3","60"
"29","I(z^2)",-0.171670569494891,1.40322751879196,-0.14297673623017,10.7606655558535,0.584218662288624,-3.38272227492874,3.03938113593896,0.847676846995064,1,-1.01934741648995,6.42210341086769,"G3","60"
"30","x:z",3.15304254208233,1.56689748529256,2.2430551168407,20.0109691624841,0.146421298371827,-0.405749291139181,6.71183437530385,3.04617174488686,1,0.106870797195472,7.11758366644302,"G3","60"
"31","(Intercept)",0.704917659835017,4.38873463353463,0.167213823270139,558.304426919215,0.514502463440135,-7.91753993581196,9.327375255482,-0.11438296016576,1,0.819300620000777,17.244915191294,"G4","20"
"32","x",2.90755718668445,1.30437886943999,2.22864792826146,553.167896937668,0.0666450165984439,0.344640394244797,5.4704739791241,3.07137064502332,1,-0.163813458338866,5.1258335848793,"G4","20"
"33","z",0.94609502470451,3.07521478579808,0.292104569242161,175.083905140965,0.440968992101611,-5.2317605944249,7.12395064383392,1.01667552694845,1,-0.0705805022439428,12.3557112382588,"G4","20"
"34","I(z^2)",0.254085282545066,0.869567761863366,0.329286733182197,178.544739877869,0.536750255412448,-1.48199603245105,1.99016659754118,0.847676846995064,1,-0.593591564449998,3.47216262999223,"G4","20"
"35","x:z",3.29954485984224,1.03623266169273,3.19438977215364,139.141516899952,0.0328530958462668,1.22293535707971,5.37615436260478,3.04617174488686,1,0.253373114955382,4.15321900552507,"G4","20"
"36","(Intercept)",0.258561272179672,5.54532257589618,0.0755287276082175,39.6286354477069,0.367224098801035,-11.2738658439762,11.7909883883355,-0.11438296016576,1,0.372944232345432,23.0648542323117,"G4","60"
"37","x",3.13104360081673,1.69434337594431,1.84359068261769,37.5840867011275,0.217657573247345,-0.430687321712491,6.69277452334595,3.07137064502332,1,0.0596729557934157,7.12346184505844,"G4","60"
"38","z",1.26558949812771,3.86258175277275,0.349657314380176,25.8141207838511,0.581278932639134,-7.0090215514894,9.54020054774482,1.01667552694845,0.9,0.248913971179257,16.5492220992342,"G4","60"
"39","I(z^2)",0.0661091022086984,1.10609343101749,-0.025281829366639,20.866033278366,0.409845052281981,-2.28138932712555,2.41360753154295,0.847676846995064,0.7,-0.781567744786365,4.69499685866851,"G4","60"
"40","x:z",3.22627745659756,1.32008748012368,2.45987730432144,17.2899360472771,0.108702254927212,0.396582600874376,6.05597231232074,3.04617174488686,0.8,0.180105711710698,5.65938971144636,"G4","60"
"41","(Intercept)",0.860856689725222,4.3387342826783,0.203847847032737,648.573962462346,0.515526584640393,-7.66033699583058,9.38205037528102,-0.11438296016576,1,0.975239649890982,17.0423873711116,"G1_G2_together","20"
"42","x",2.795705320949,1.29125222327969,2.1669638756533,633.628066716096,0.0731995655000662,0.259458529051676,5.33195211284633,3.07137064502332,1,-0.275665324074313,5.07249358379465,"G1_G2_together","20"
"43","z",1.1196954645769,2.80697881285645,0.405191489572015,405.993149501909,0.512054782176873,-4.41816074129996,6.65755167045376,1.01667552694845,1,0.103019937628448,11.0757124117537,"G1_G2_together","20"
"44","I(z^2)",0.586145564022002,0.848855536307463,0.714421779398795,203.436036409961,0.463336715744293,-1.09352364253937,2.26581477058338,0.847676846995064,1,-0.261531282973062,3.35933841312275,"G1_G2_together","20"
